s,t,target_dim,target_masked_dim,next_dim,signatures,subalgebra_dim,num_new_gens,last_live_sig,rows_consumed,matrix_bytes,wall_us
19,43,28,14,29,1,2,0,-1,0,224,429
9,35,51,16,72,3,4,1,1,7,816,725
20,44,28,14,29,1,2,0,-1,0,224,238
3,32,218,37,159,7,8,0,-1,0,5232,3678
12,37,37,19,48,1,2,1,0,5,296,552
5,33,127,22,187,7,8,0,-1,0,3048,1638
13,38,32,16,41,1,2,1,0,3,256,366
7,34,100,17,125,7,8,0,-1,0,1600,1098
10,36,50,26,57,1,2,0,-1,0,400,695
2,37,231,18,68,15,16,0,-1,0,3696,2304
14,39,30,15,35,1,2,0,-1,0,240,309
11,37,48,26,56,1,2,0,-1,0,384,456
15,40,29,15,33,1,2,0,-1,0,232,1333
12,38,41,22,55,1,2,0,-1,0,328,1197
4,33,187,30,238,7,8,0,-1,0,5984,2281
6,34,125,22,143,7,8,0,-1,0,3000,2369
16,41,29,15,32,1,2,0,-1,0,232,307
13,39,35,19,46,1,2,0,-1,0,280,625
17,42,29,15,32,1,2,0,-1,0,232,422
3,33,239,35,170,7,8,1,6,30,5736,3089
14,40,33,18,39,1,2,1,0,2,264,284
2,38,252,29,72,15,16,0,-1,0,4032,3021
8,35,72,11,113,7,8,0,-1,0,1152,3192
15,41,33,17,37,1,2,0,-1,0,264,403
18,43,29,15,32,1,2,0,-1,0,232,799
16,42,32,17,36,1,2,0,-1,0,256,353
19,44,29,15,32,1,2,0,-1,0,232,274
5,34,143,25,206,7,8,0,-1,0,4576,1933
17,43,32,17,35,1,2,0,-1,0,256,380
9,36,57,9,81,7,8,0,-1,0,912,848
20,45,29,15,32,1,2,0,-1,0,232,412
7,35,113,19,144,7,8,0,-1,0,2712,2263
18,44,32,17,35,1,2,0,-1,0,256,461
4,34,207,33,258,7,8,1,6,45,8280,1884
10,37,56,16,64,3,4,0,-1,0,448,647
19,45,32,17,35,1,2,0,-1,0,256,315
3,34,259,40,184,7,8,2,6,55,6216,2764
6,35,144,25,158,7,8,0,-1,0,3456,1805
20,46,32,17,35,1,2,0,-1,0,256,591
11,38,55,29,64,1,2,0,-1,0,440,841
8,36,81,14,126,7,8,1,6,8,1296,1502
12,39,46,24,60,1,2,0,-1,0,368,465
9,37,65,12,91,7,8,1,4,8,1040,790
13,40,39,20,50,1,2,1,0,4,312,390
7,36,126,23,158,7,8,1,6,17,3024,1498
14,41,38,19,42,1,2,1,0,3,304,477
10,38,65,21,73,3,4,1,2,10,1040,627
2,39,270,20,77,15,16,0,-1,0,4320,4334
5,35,159,24,224,7,8,1,6,31,5088,3063
15,42,37,19,40,1,2,1,0,3,296,541
11,39,61,31,72,1,2,0,-1,0,976,497
8,37,92,17,139,7,8,1,4,6,2208,889
16,43,36,18,40,1,2,0,-1,0,288,398
12,40,50,26,68,1,2,0,-1,0,800,419
17,44,35,18,38,1,2,0,-1,0,280,485
3,35,285,44,201,7,8,0,-1,0,9120,3524
4,35,226,33,284,7,8,1,5,3,9040,3525
9,38,74,13,101,7,8,1,2,6,1184,966
13,41,42,22,56,1,2,0,-1,0,336,916
18,45,35,18,37,1,2,0,-1,0,280,607
6,36,159,26,174,7,8,1,6,17,3816,1665
19,46,35,18,37,1,2,0,-1,0,280,343
14,42,40,21,47,1,2,0,-1,0,320,516
20,47,35,18,37,1,2,0,-1,0,280,424
5,36,175,27,249,7,8,2,5,26,5600,1351
15,43,40,21,45,1,2,0,-1,0,320,550
7,37,140,22,174,7,8,1,6,38,3360,1146
10,39,73,13,83,7,8,0,-1,0,1168,1449
4,36,249,41,308,7,8,1,6,64,9960,1578
3,36,308,51,214,7,8,1,6,55,9856,1751
16,44,38,20,45,1,2,0,-1,0,304,371
2,40,289,21,82,31,32,1,29,28,4624,3854
17,45,37,19,43,1,2,0,-1,0,296,396
8,38,102,17,156,7,8,1,5,22,2448,1000
5,37,195,31,272,7,8,0,-1,0,7800,1413
18,46,37,19,41,1,2,0,-1,0,296,637
9,39,84,13,114,7,8,1,6,12,1344,833
3,37,333,50,231,7,8,1,6,43,10656,1649
